번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"59","079440","오렌지라이프","KOSPI","주권","보통주","2017/05/11","2020/02/14","지주회사(최대주주등)의 완전자회사화 등",,,"보험","1000","82000000",,
"60","122800","썬텍","KOSDAQ","주권","보통주","2010/11/26","2020/02/12","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2020/02/03","2020/02/11","금속","100","35153085",,
"61","065370","위세아이텍","KONEX","주권","보통주","2018/04/02","2020/02/10","코스닥시장 이전상장",,,"-","500","3400000","065370","위세아이텍"
"62","077280","한컴지엠디","KOSDAQ","주권","보통주","2004/06/02","2020/01/16","피흡수합병",,,"소프트웨어","500","11766339",,
"63","265920","한화수성스팩","KOSDAQ","주권","보통주","2017/06/08","2020/01/15","상장예비심사 청구서 미제출로 관리종목 지정후 1개월 이내 동사유를 미해소","2020/01/06","2020/01/14","금융","100","4440000",,
"64","265480","미래에셋대우스팩1호","KOSDAQ","주권","보통주","2017/05/26","2020/01/03","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2019/12/20","2020/01/02","금융","100","4840000",,
"65","210610","소프트캠프","KONEX","주권","보통주","2014/12/18","2019/12/30","피흡수합병",,,"-","500","4467252",,
"66","122050","아이엘사이언스","KONEX","주권","보통주","2018/11/16","2019/12/27","피흡수합병",,,"-","500","6784104",,
"67","035480","제이테크놀로지","KOSDAQ","주권","보통주","1999/11/18","2019/12/12","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2019/12/03","2019/12/11","오락·문화","500","9105814",,
"68","302550","리메드","KONEX","주권","보통주","2018/08/14","2019/12/06","코스닥시장 이전상장",,,"-","500","5204956","302550","리메드"
"69","247300","인프라웨어테크놀러지","KONEX","주권","보통주","2016/07/08","2019/12/06","피흡수합병",,,"-","500","6118198",,
"70","264290","한화에이스스팩3호","KOSDAQ","주권","보통주","2017/05/02","2019/12/06","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2019/11/27","2019/12/05","금융","100","3080000",,
"71","226610","한국비엔씨","KONEX","주권","보통주","2015/12/18","2019/12/03","피흡수합병",,,"-","500","6028801",,
"72","017680","데코앤이","KOSDAQ","주권","보통주","1993/09/03","2019/11/20","발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지","2019/11/11","2019/11/19","섬유·의류","500","14585615",,
"73","230400","자비스","KONEX","주권","보통주","2015/11/17","2019/11/15","피흡수합병",,,"-","500","3558916",,
"74","279600","미디어젠","KONEX","주권","보통주","2017/11/10","2019/11/05","코스닥시장 이전상장",,,"-","500","3680381","279600","미디어젠"
"75","036420","제이콘텐트리","KOSDAQ","주권","보통주","2000/03/23","2019/10/18","유가증권시장 상장",,,"서비스업","5000","14406898","036420","제이콘텐트리"
"76","262830","대신밸런스제4호스팩","KOSDAQ","주권","보통주","2017/03/03","2019/10/10","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2019/09/27","2019/10/08","금융","100","5010000",,
"77","135270","세종머티리얼즈","KONEX","주권","보통주","2014/12/17","2019/10/02","파산선고에 따른 해산사유 발생","2019/09/23","2019/10/01","-","500","7146051",,
"78","257730","신한제3호스팩","KOSDAQ","주권","보통주","2017/02/23","2019/10/01","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2019/09/20","2019/09/30","금융","100","3505000",,
"79","271400","알로이스","KONEX","주권","보통주","2017/07/07","2019/10/01","피흡수합병",,,"-","500","2726400",,
"80","225650","쿠첸","KOSDAQ","주권","보통주","2015/09/04","2019/09/16","타법인의 완전자회사로 편입",,,"일반전기전자","500","10686277",,
"81","232330","SK3호스팩","KOSDAQ","주권","보통주","2016/11/16","2019/08/30","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2019/08/21","2019/08/29","금융","100","3600000",,
"82","186230","그린플러스","KONEX","주권","보통주","2013/12/20","2019/08/07","코스닥시장 이전상장",,,"-","500","3202873","186230","그린플러스"
"83","026180","현대정보기술","KOSDAQ","주권","보통주","2000/08/08","2019/07/17","피흡수합병",,,"컴퓨터서비스","1000","59537195",,
"84","221670","주노콜렉션","KONEX","주권","보통주","2017/06/27","2019/07/16"," 지정자문인 선임계약 해지 후 30일 이내 미체결(2019.7.2 限) ","2019/07/05","2019/07/15","-","500","3373320",,
"85","176560","포인트엔지니어링","KONEX","주권","보통주","2017/08/14","2019/07/16","피흡수합병",,,"-","500","6200000",,
"86","262760","엔케이맥스","KONEX","주권","보통주","2018/08/09","2019/07/04","피흡수합병",,,"-","500","16820000",,
"87","079660","사조해표","KOSPI","주권","보통주","2004/09/21","2019/06/26","해산 사유 발생",,,"음식료품","5000","7160000",,
"88","229480","줌인터넷","KONEX","주권","보통주","2016/06/10","2019/06/10","피흡수합병",,,"-","500","10808738",,
"89","003670","포스코케미칼","KOSDAQ","주권","보통주","2001/11/01","2019/05/29","유가증권시장 상장",,,"비금속광물","500","60988220","003670","포스코케미칼"
"90","253840","수젠텍","KONEX","주권","보통주","2016/11/11","2019/05/28","코스닥시장 이전상장",,,"-","500","11426006","253840","수젠텍"
"91","242850","영현무역","KONEX","주권","보통주","2016/05/20","2019/05/22","지정자문인 선임계약 해지 후 30일 이내 미체결(2019.5.8 限)","2019/05/13","2019/05/21","-","500","1620000",,
"92","002250","알보젠코리아","KOSPI","주권","보통주","1973/11/10","2019/05/20","지주회사(최대주주등)의 완전자회사화 등",,,"의약품","5000","11857922",,
"93","004987","성신양회2우B","KOSPI","주권","신형우선주","1999/03/15","2019/05/10","존속기간 만료",,,"비금속광물","5000","220693","004980","성신양회"
"94","004989","성신양회3우B","KOSPI","주권","신형우선주","2001/02/01","2019/05/10","존속기간 만료",,,"비금속광물","5000","286898","004980","성신양회"
"95","140890","트러스제7호","KOSPI","부동산투자회사","보통주","2011/09/30","2019/05/07","해산 사유 발생",,,"서비스업","5000","9686000",,
"96","065160","에프티이앤이","KOSDAQ","주권","보통주","2002/07/30","2019/05/03","감사의견 거절(감사범위 제한)","2019/04/30","2019/05/02","화학","500","67990951",,
"97","228760","지노믹트리","KONEX","주권","보통주","2016/07/19","2019/03/27","코스닥시장 이전상장",,,"-","500","15949178","228760","지노믹트리"
"98","192080","더블유게임즈","KOSDAQ","주권","보통주","2015/11/04","2019/03/12","유가증권시장 상장",,,"서비스업","500","18260502","192080","더블유게임즈"
"99","250300","제이에스피브이","KONEX","주권","보통주","2016/08/10","2019/03/04","지정자문인 선임계약 해지 후 30일이내 미체결(2019.2.1 限)","2019/02/11","2019/02/28","-","100","23672671",,
"100","245030","스페이스솔루션","KONEX","주권","보통주","2016/06/03","2019/02/27","상장폐지 신청('19.1.25)","2019/02/18","2019/02/26","-","500","1120000",,
"101","123100","원익테라세미콘","KOSDAQ","주권","보통주","2011/11/01","2019/02/20","피흡수합병",,,"반도체","500","11303840",,
"102","000030","우리은행","KOSPI","주권","보통주","2014/11/19","2019/02/13","지주회사(최대주주등)의 완전자회사화 등",,,"은행","5000","676000000",,
"103","240540","한국4호스팩","KOSDAQ","주권","보통주","2016/06/22","2019/01/29","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2019/01/18","2019/01/28","금융","100","5500000",,
"104","900090","차이나하오란","KOSDAQ","외국주권","보통주","2010/02/05","2019/01/02","제28조제1항제9호에 따라 관리종목 지정 후 공시규정 제19조 제1항에 따른 분기보고서 법정기한 내 미제출","2018/12/19","2018/12/28","금융","무액면","94000000",,
"105","004130","대덕GDS","KOSPI","주권","보통주","1987/08/10","2018/12/19","해산 사유 발생",,,"전기전자","500","20575613",,
"106","004135","대덕GDS우","KOSPI","주권","구형우선주","1988/10/21","2018/12/19","해산 사유 발생",,,"전기전자","500","2160000",,
"107","002000","한국유리","KOSPI","주권","보통주","1969/06/27","2018/12/13","신청에 의한 상장폐지","2018/12/04","2018/12/12","비금속광물","5000","10079660",,
"108","002005","한국유리우","KOSPI","주권","구형우선주","1989/12/20","2018/12/13","신청에 의한 상장폐지","2018/12/04","2018/12/12","비금속광물","5000","454767",,
"109","167380","나무기술","KONEX","주권","보통주","2016/11/28","2018/12/11","피흡수합병",,,"-","500","2312300",,
"110","272420","극동자동화","KONEX","주권","보통주","2017/06/28","2018/11/15","상장폐지 신청('18.11.5)",,,"-","500","500000",,
"111","242420","본느","KONEX","주권","보통주","2016/05/16","2018/10/29","피흡수합병",,,"-","500","3242700",,
"112","192530","광주은행","KOSPI","주권","보통주","2014/05/22","2018/10/26","지주회사(최대주주등)의 완전자회사화 등",,,"은행","5000","51316057",,
"113","194610","우성아이비","KOSDAQ","주권","보통주","2014/06/10","2018/10/12","감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2018/09/28","2018/10/11","기타제조","100","21570000",,
"114","155960","지디","KOSDAQ","주권","보통주","2013/02/13","2018/10/12","감사의견 거절(감사범위 제한)","2018/09/28","2018/10/11","IT부품","500","18709617",,
"115","232270","케이비제9호스팩","KOSDAQ","주권","보통주","2016/02/29","2018/10/12","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/10/01","2018/10/11","금융","100","13815700",,
"116","235010","하이에이아이1호스팩","KOSDAQ","주권","보통주","2016/03/04","2018/10/12","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/10/01","2018/10/11","금융","100","4950000",,
"117","032040","C&S자산관리","KOSDAQ","주권","보통주","1997/01/23","2018/10/11","감사의견거절(범위제한 및 계속기업 존속능력에 대한 불확실성)","2018/09/28","2018/10/10","기타서비스","2500","10913968",,
"118","081970","넥스지","KOSDAQ","주권","보통주","2007/08/20","2018/10/11","감사의견거절(감사범위제한)","2018/09/28","2018/10/10","소프트웨어","500","8070924",,
